date,debit,free_credit_cash,free_credit_margin,total_free_credit,gdp_b,mktcap_m,debt_gdp_pct,debt_mktcap_pct,net_leverage
1997-01-01,103337,68856,,,8362.655,10158704.0,1.2356960797737082,1.0172262131074987,
1997-02-01,103886,67058,,,8362.655,10158704.0,1.2422609805139635,1.022630445773398,
1997-03-01,104835,69553,,,8362.655,10158704.0,1.253609051192474,1.0319721885783857,
1997-04-01,102842,64825,,,8518.825,11765579.0,1.2072322180582415,0.8740921292526275,
1997-05-01,111097,66879,,,8518.825,11765579.0,1.3041352533946877,0.9442544221580594,
1997-06-01,118843,72422,,,8518.825,11765579.0,1.3950632863100252,1.010090536130861,
1997-07-01,121090,73714,,,8662.823,12777409.0,1.3978122374196034,0.9476882206713426,
1997-08-01,124404,71211,,,8662.823,12777409.0,1.4360676652403033,0.973624621392334,
1997-09-01,131962,73087,,,8662.823,12777409.0,1.5233140513202221,1.0327758937668818,
1997-10-01,134491,80287,,,8765.907,12994853.0,1.5342508196812947,1.034955916777204,
1997-11-01,132741,77259,,,8765.907,12994853.0,1.5142871125600579,1.0214890464709374,
1997-12-01,131560,88590,,,8765.907,12994853.0,1.5008144622113833,1.0124008328528227,
1998-01-01,132912,83362,,,8866.48,14807614.0,1.499039077514414,0.897592279215274,
1998-02-01,141328,81932,,,8866.48,14807614.0,1.593958369048371,0.9544279044551,
1998-03-01,146536,85580,,,8866.48,14807614.0,1.6526964477447645,0.9895989995417221,
1998-04-01,146589,85771,,,8969.699,15060226.0,1.6342688868377857,0.9733519271224746,
1998-05-01,150293,80174,,,8969.699,15060226.0,1.6755634720852952,0.997946511559654,
1998-06-01,154357,87891,,,8969.699,15060226.0,1.720871569937854,1.0249314983719366,
1998-07-01,160980,92687,,,9121.097,13280058.0,1.7649192854762974,1.2121935009621194,
1998-08-01,155879,100093,,,9121.097,13280058.0,1.7089939949109192,1.1737825241425903,
1998-09-01,144541,103879,,,9121.097,13280058.0,1.5846887715370201,1.0884063909961839,
1998-10-01,138399,108179,,,9293.991,15914009.0,1.489123456220261,0.8696677248328816,
1998-11-01,148697,108032,,,9293.991,15914009.0,1.5999262319061853,0.9343780061956732,
1998-12-01,148674,111507,,,9293.991,15914009.0,1.5996787601795612,0.9342334794456885,
1999-01-01,162322,107200,,,9411.682,16371186.0,1.7246864056817899,0.9915103279627999,
1999-02-01,162909,109523,,,9411.682,16371186.0,1.7309233354888105,0.995095895923484,
1999-03-01,166212,109941,,,9411.682,16371186.0,1.7660180188833408,1.015271587531899,
1999-04-01,184329,112290,,,9526.21,17748300.0,1.9349667916201723,1.0385727083720695,
1999-05-01,189950,114271,,,9526.21,17748300.0,1.9939724192517276,1.0702433472501593,
1999-06-01,187695,116982,,,9526.21,17748300.0,1.9703008856617692,1.0575379050387923,
1999-07-01,189503,115017,,,9686.626,16852114.0,1.9563364994168246,1.1245058038415834,
1999-08-01,187616,117149,,,9686.626,16852114.0,1.9368560322242232,1.1133083956113756,
1999-09-01,189741,121207,,,9686.626,16852114.0,1.9587934952789547,1.1259180895643124,
1999-10-01,194259,123457,,,9900.169,19976125.0,1.9621786254355862,0.9724558691938501,
1999-11-01,218304,131786,,,9900.169,19976125.0,2.205053267272508,1.0928245593176855,
1999-12-01,241967,146582,,,9900.169,19976125.0,2.4440693891185092,1.2112809666539432,
2000-01-01,260409,148567,,,10002.179,20974342.0,2.603522692405325,1.24155980673911,
2000-02-01,284206,153540,,,10002.179,20974342.0,2.8414408500387767,1.3550174780214796,
2000-03-01,299933,168002,,,10002.179,20974342.0,2.998676588371394,1.4299995680436601,
2000-04-01,268716,156868,,,10247.72,20216271.0,2.6222027924260227,1.3292065584201953,
2000-05-01,256862,153843,,,10247.72,20216271.0,2.5065282814128413,1.2705706210606298,
2000-06-01,264471,153050,,,10247.72,20216271.0,2.5807789439992503,1.3082086206699544,
2000-07-01,263729,163050,,,10318.165,20171596.0,2.555968042767294,1.3074275332502197,
2000-08-01,265166,156775,,,10318.165,20171596.0,2.5698949377142157,1.3145514117970636,
2000-09-01,270208,160964,,,10318.165,20171596.0,2.6187602156003513,1.339546955035189,
2000-10-01,250965,172738,,,10435.744,18244251.0,2.4048596822612742,1.3755840127391363,
