date,spot,implied_vol_1w,risk_reversal_25d,iv_used,band_up_10,band_dn_10,band_up_15,band_dn_15,band_up_20,band_dn_20,sigma_consumed,abs_sigma,bb_mid,bb_upper,bb_lower,bb_bandwidth,bb_bandwidth_pct,bb_squeeze,log_return,rv_20d,iv_rv_ratio,iv_rv_flag,squeeze_flag,squeeze_direction
2025-05-05,0.6469,0.130125,-0.0027,0.130125,0.658663036048055,0.6353470395285222,0.6646245234494964,0.629648162586645,0.670639967624117,0.6240004029025468,,,,,,,,False,,,,False,False,
2025-05-06,0.6495,0.126225,-0.002075,0.126225,0.6609532421465196,0.63824522386787,0.6667553792450065,0.6326911835007282,0.6726084500446434,0.627185474657656,0.2210313722901365,0.2210313722901365,,,,,,False,0.004011113060714332,,,False,False,
2025-05-07,0.6424,0.11699999999999999,-0.0019500000000000001,0.11699999999999999,0.6528934213698876,0.6320752307997344,0.6582042357708114,0.6269752419881045,0.6635582497946415,0.6219164031608615,-0.6199118039390689,0.6199118039390689,,,,,,False,-0.010991673478102343,,,False,False,
2025-05-08,0.64,0.11234999999999999,-0.0020250000000000003,0.11234999999999999,0.6500354896215297,0.6301194419992077,0.6551120914958279,0.6252365134411635,0.6602283402617216,0.6203914237271763,-0.22871472662739897,0.22871472662739897,,,,,,False,-0.0037429862788342805,,,False,False,
2025-05-09,0.6414,0.108125,-0.00315,0.108125,0.6510763866936279,0.6318674250946018,0.6559691861867679,0.627154397894031,0.6608987547708615,0.6224765246268824,0.13950490238129182,0.13950490238129182,,,,,,False,0.0021851109053370107,,,False,False,
2025-05-12,0.6372,0.09375,-0.0024,0.09375,0.6455266804139562,0.6289807258464196,0.6497307358621155,0.6249109324669004,0.6539621706312964,0.6208674725145777,-0.43404631635543944,0.43404631635543944,,,,,,False,-0.006569709223161073,,,False,False,
2025-05-13,0.6471,0.0971,-0.00135,0.0971,0.655860248872841,0.6384567607499346,0.6602847460965645,0.6341785305135019,0.664739091410207,0.6299289682387562,1.1889491979789155,1.1889491979789155,,,,,,False,0.015417264027327033,,,False,False,
2025-05-14,0.6428,0.10237500000000001,-0.0011749999999999998,0.10237500000000001,0.6519781381508117,0.6337510659052542,0.6566162342300825,0.629274480982776,0.6612873251813923,0.6248295170131392,-0.4908536346873732,0.4908536346873732,,,,,,False,-0.006667208199862798,,,False,False,
2025-05-15,0.6406,0.10225,-0.001225,0.10225,0.6497354783095162,0.6315929692922074,0.6543519567262033,0.6271370564139812,0.6590012359882856,0.6227125801738173,-0.2397000310793466,0.2397000310793466,,,,,,False,-0.003428396688299897,,,False,False,
2025-05-16,0.6406,0.098825,-0.0012,0.098825,0.6494273747227943,0.6318926118184719,0.6538865728374249,0.6275834021476833,0.6583763893839223,0.6233035792550267,0.0,0.0,,,,,,False,0.0,,,False,False,
2025-05-19,0.6457,0.09667500000000001,-0.001075,0.09667500000000001,0.6544027793537559,0.6371129572703382,0.6587980569168428,0.6328623553493982,0.6632228552360546,0.6286401120051973,0.5777482162200183,0.5777482162200183,,,,,,False,0.00792976245736368,,,False,False,
