date,spot,implied_vol_1w,risk_reversal_25d,iv_used,band_up_10,band_dn_10,band_up_15,band_dn_15,band_up_20,band_dn_20,sigma_consumed,abs_sigma,bb_mid,bb_upper,bb_lower,bb_bandwidth,bb_bandwidth_pct,bb_squeeze,log_return,rv_20d,iv_rv_ratio,iv_rv_flag,squeeze_flag,squeeze_direction
2025-05-05,7.2011,0.06785000000000001,-0.008325,0.06785000000000001,7.269081890726803,7.1337538893533035,7.3033131270611005,7.100317391275147,7.337705563607278,7.06703761284573,,,,,,,,False,,,,False,False,
2025-05-06,7.2098,0.06045,-0.008,0.06045,7.27040957077489,7.149695699256152,7.300905158401298,7.119831707467695,7.331528659160467,7.090092456373535,0.12797525792512288,0.12797525792512288,,,,,,False,0.0012074195306260571,,,False,False,
2025-05-07,7.2283,0.0548,-0.007925,0.0548,7.2833640666891135,7.173652231523165,7.311053201951463,7.146483474645473,7.33884760288563,7.119417613939278,0.30523232161980285,0.30523232161980285,,,,,,False,0.0025626654649179184,,,False,False,
2025-05-08,7.2429,0.051125,-0.0066749999999999995,0.051125,7.294362006678808,7.1918010597729225,7.3202299653629765,7.166386938418916,7.346189659456751,7.141062624549686,0.26514569079014577,0.26514569079014577,,,,,,False,0.0020178015580859074,,,False,False,
2025-05-09,7.2403,0.049800000000000004,-0.005575,0.049800000000000004,7.290405675287403,7.190538692201572,7.315588394832872,7.165786435856142,7.340858101219946,7.141119385114966,-0.05052270923337133,0.05052270923337133,,,,,,False,-0.0003590366808342817,,,False,False,
2025-05-12,7.2006,0.045125,-0.0063,0.045125,7.245738401746679,7.155742794619967,7.26841360168158,7.133419092717094,7.291159762595688,7.111165033852121,-0.7923254156796499,0.7923254156796499,,,,,,False,-0.005498286119933252,,,False,False,
2025-05-13,7.1991,0.038525000000000004,-0.00615,0.038525000000000004,7.237610793380236,7.160794119711819,7.2569433748012,7.141717681022936,7.276327596012571,7.122692062188243,-0.033231127863546914,0.033231127863546914,,,,,,False,-0.0002083376744551243,,,False,False,
2025-05-14,7.2112,0.041025,-0.00575,0.041025,7.252285917593763,7.170346843861549,7.272916576067303,7.150007138968011,7.293605922804639,7.129725130529632,0.3141976297535775,0.3141976297535775,,,,,,False,0.0016793547453883611,,,False,False,
2025-05-15,7.2049,0.040125,-0.005475,0.040125,7.245046969986159,7.164975496369925,7.265204266975172,7.145096283935963,7.2854176459500675,7.125272226343383,-0.15333721062994538,0.15333721062994538,,,,,,False,-0.000874022849599464,,,False,False,
2025-05-16,7.2105,0.04095,-0.005225,0.04095,7.2515066121009815,7.169725276570705,7.272097288225546,7.149424463033595,7.292746431640558,7.1291811305036905,0.1394874881449335,0.1394874881449335,,,,,,False,0.0007769469153407354,,,False,False,
2025-05-19,7.2147,0.035699999999999996,-0.0046,0.035699999999999996,7.25045716514448,7.179119178888737,7.268402149681537,7.161394625403416,7.286391548310384,7.143713832132742,0.1024225066352028,0.1024225066352028,,,,,,False,0.0005823142997923024,,,False,False,
2025-05-20,7.2152,0.033375,-0.004425,0.033375,7.248625373061366,7.181928760378672,7.265396082641667,7.165350718370131,7.282205593606417,7.148810943446382,0.013983211420153413,0.013983211420153413,,,,,,False,6.93005495812235e-05,,,False,False,
2025-05-21,7.2041,0.033225,-0.00425,0.033225,7.237323610211499,7.171028905875239,7.253992828525811,7.154550333426117,7.27070043987796,7.13810962769787,-0.33208305497806595,0.33208305497806595,,,,,,False,-0.0015396034748705598,,,False,False,
2025-05-22,7.2044,0.0323,-0.004675,0.0323,7.23669792362527,7.172246224421466,7.252901142788559,7.156223190992569,7.26914064152494,7.140235953546163,0.009029723082155359,0.009029723082155359,,,,,,False,4.164208627438976e-05,,,False,False,
