date,spot,implied_vol_1w,risk_reversal_25d,iv_used,band_up_10,band_dn_10,band_up_15,band_dn_15,band_up_20,band_dn_20,sigma_consumed,abs_sigma,bb_mid,bb_upper,bb_lower,bb_bandwidth,bb_bandwidth_pct,bb_squeeze,log_return,rv_20d,iv_rv_ratio,iv_rv_flag,squeeze_flag,squeeze_direction
2025-11-11,1.1582,0.053025,0.003025,0.053025,1.1667361561168772,1.1497262967014994,1.1710277976903734,1.1455127219402532,1.1753352253413802,1.1413145892997274,0.3138471756491498,0.3138471756491498,1.15916,1.1706102861375443,1.1477097138624557,0.019756178849415586,29.66101694915254,False,0.0021608548102936788,0.04126048066176078,1.2851280244328878,True,False,
2025-11-12,1.1593,0.055575,0.0029249999999999996,0.055575,1.168256744742218,1.1504119244751763,1.1727610337032166,1.1459934729892396,1.1772826892397865,1.141591991697299,0.12886362256487047,0.12886362256487047,1.15889,1.1700410018431229,1.147738998156877,0.019244280031966623,23.52941176470588,False,0.0009492988846663528,0.03932130932688099,1.4133557847222444,True,False,
2025-11-13,1.1633,0.061375,0.004699999999999999,0.061375,1.173229623329462,1.1534544159902964,1.178226173668522,1.148562916223862,1.183244003316248,1.143692160033969,0.4465908223493023,0.4465908223493023,1.15862,1.1690061446167512,1.1482338553832487,0.017928474593484053,20.0,True,0.0034444191463649824,0.039341030788433144,1.5600760521517696,True,False,
2025-11-14,1.1621,0.061500000000000006,0.003225,0.061500000000000006,1.1720396690012662,1.1522446259440904,1.1770413391758798,1.1473483258842487,1.1820643539390743,1.1424728319568342,-0.12085050562186156,0.12085050562186156,1.15845,1.1684667228594077,1.1484332771405923,0.01729331927904992,18.181818181818183,True,-0.0010320805938927985,0.03834970330860482,1.6036629932988498,True,False,
2025-11-17,1.1592,0.058499999999999996,0.0024,0.058499999999999996,1.1686292511642007,1.1498468300886253,1.1733726004155116,1.145198583573672,1.1781352024470326,1.1405691275576777,-0.29176021853750145,0.29176021853750145,1.1582,1.16785554108708,1.14854445891292,0.01667335708354343,17.21311475409836,True,-0.0024986012223552775,0.03911978441616881,1.4954070139461464,True,False,
2025-11-18,1.1581,0.0583,0.002,0.0583,1.1674879671110499,1.148787523111514,1.1722104505412207,1.1441594036128555,1.1769520363950365,1.1395499294160156,-0.11665825640284061,0.11665825640284061,1.158105,1.1677232885007827,1.1484867114992172,0.016610391114420062,17.073170731707318,True,-0.0009493808161407295,0.03714256646731931,1.5696276683329493,True,False,
2025-11-19,1.1538,0.06265,0.0011749999999999998,0.06265,1.1638540154251726,1.1438328367270987,1.1689138289425391,1.1388815899323583,1.1739956398173845,1.1339517753294868,-0.45803313423826586,0.45803313423826586,1.15774,1.1674334921196527,1.1480465078803472,0.016745542383700587,18.548387096774192,True,-0.003719888367542932,0.039071571576119964,1.6034676229479048,True,False,
2025-11-20,1.1528,0.051125,0.000275,0.051125,1.1609908353421048,1.1446669513187018,1.1651080512046887,1.1406219694610347,1.1692398679288327,1.1365912816110784,-0.09946274773919037,0.09946274773919037,1.15729,1.1670254263551156,1.1475545736448842,0.016824523421295798,19.2,True,-0.0008670771374766592,0.038961701978782466,1.3121860032665242,True,False,
2025-11-21,1.1513,0.049525,0.000325,0.049525,1.1592232931613553,1.1434308625607486,1.1632053645071692,1.139516486464614,1.167201114746684,1.1356155106891492,-0.18313150458407382,0.18313150458407382,1.15672,1.1664566588887508,1.146983341111249,0.01683494517039709,19.841269841269842,True,-0.0013020270056936251,0.03883645165600085,1.275219488090066,True,False,
2025-11-24,1.1521,0.045575000000000004,7.5e-05,0.045575000000000004,1.1593944185096965,1.144851474881323,1.163058928517548,1.1412443320407157,1.1667350209803293,1.1376485544118917,0.10096811814332471,0.10096811814332471,1.1561,1.1653160043859698,1.14688399561403,0.01594326509120305,13.385826771653544,True,0.0006946253643890127,0.03835767517142903,1.1881585574807423,False,False,
